,0.5,0.6,0.7,0.8,0.9,1
776,,,,,,
777,,,2619.307352,,,
778,,,,,,
779,,,,,,56.78915492
780,,,,,,
781,,,,,237.8863965,
782,,,,,,
783,,,,,,56.78915492
784,,,,,,
785,,,,,,
786,,,,,,
787,,,,,,
788,,,,1097.716921,,
789,,,,,,
790,,,,,,
791,,,,,,56.78915492
792,7301.34352,,,,,
793,,,,,,
794,,4035.470012,,,,
795,,,2619.307352,,,
796,,,,,,
797,,,,,,
798,,,,,187.4534774,56.78915492
799,,,,,,
800,,,,,,
801,,,,,,
802,,,,,,
803,,,,,,
804,,,,,,
805,,,,,,
806,,,,,,
807,,,,954.0763259,,56.78915492
808,,,,,,
809,,,,,,
810,6616.615881,,2619.307352,,,
811,,,,,187.4534774,
812,,,,,,56.78915492
813,,,,,,
814,,,,,,
815,,,,,,
816,,,,,,56.78915492
817,,4035.470012,,,,
818,,,,,,
819,,,,,,56.78915492
820,,,,,,
821,,,,,,
822,,,,,178.8529335,
823,,,,,,
824,,,,,,56.78915492
825,,,,,,
826,,,,948.831005,,
827,,,,,,
828,7301.34352,,,,,
829,,,2874.766545,,,56.78915492
830,,,,,,
831,,4035.470012,,,,
832,,,,,,
833,,,,,,
834,,,,,,
835,,,,,178.8529335,
836,,,,,,56.78915492
837,,,,,,
838,,,,,,
839,,,,,,
840,,,,,,
841,,,,,,
842,,,,,,
843,,,,753.4267215,,
844,,,,,,56.78915492
845,,,,,,
846,,,,,,
847,7301.34352,,,,,56.78915492
848,,,,,,
849,,,,,160.6476056,
850,,,,,,
851,,,,,,
852,,,3137.326156,,,56.78915492
853,,4035.470012,,,,
854,,,,,,
855,,,,,,
856,,,,,,40.22674754
857,,,,,,
858,,,,,,
859,,,,753.4267215,,
860,,,,,,
861,,,,,,
862,,,,,,
863,,,,,,40.22674754
864,,,,,164.6634477,
865,,,,,,40.22674754
866,,,,,,
867,,,,,,
868,,,,,,
869,,,,,,40.22674754
870,,,1874.547242,,,
871,,,,,,
872,2785.896115,,,,,
873,,2906.454727,,,,
874,,,,,,
875,,,,753.4267215,,
876,,,,,,40.22674754
877,,,,,,
878,,,,,,
879,,,,,,40.22674754
880,,,,,,
881,,,,,,40.22674754
882,,,,,161.5086123,
883,,,,,,
884,,,,,,
885,,,,,,
886,,,,,,
887,,2906.454727,,,,40.22674754
888,,,,753.4267215,,
889,,,,,,
890,,,,,,
891,,,,,,
892,3814.998561,,,,,
893,,,1874.547242,,,40.22674754
894,,,,,,
895,,,,,,
896,,,,,,
897,,,,,142.7709239,
898,,,,,,40.22674754
899,,,,,,
900,,,,,,
901,,,,,,
902,,,,,,
903,,,,,,
904,,,,,,40.22674754
905,,,,753.4267215,,
906,,,,,,40.22674754
907,,,,,,40.22674754
908,,,,,144.1232624,
909,,,,,,
910,,2906.454727,,,,
911,3814.998561,,,,,
912,,,,,,40.22674754
913,,,,,,
914,,,,,,
915,,,,,,
916,,,1874.547242,,,
917,,,,,,40.22674754
918,,,,,,
919,,,,,,
920,,,,501.1877832,,
921,,,,,,40.22674754
922,,,,,,
923,,,,,,
924,,,,,,
925,,,,,164.6634477,
926,,,,,,
927,,,,,,40.22674754
928,,,,,,40.22674754
929,,,,,,40.22674754
930,,,,,,
