22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,1.1196e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,1.1196e+05,1.1196e+05
51,1.1196e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,1.1196e+05,1.1196e+05
52,1.1196e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,1.1196e+05,1.1196e+05
53,1.1196e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,1.1196e+05,1.1196e+05
54,1.1196e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,1.1196e+05,1.1196e+05
55,1.1196e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,1.1196e+05,1.1196e+05
56,1.1196e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,1.1196e+05,1.1196e+05
57,1.1196e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,1.1196e+05,1.1196e+05
58,1.1196e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,1.1196e+05,1.1196e+05
59,1.1196e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,1.1196e+05,1.1196e+05
60,1.1196e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,1.1196e+05,1.1196e+05
61,1.1196e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,1.1196e+05,1.1196e+05
62,1.1196e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,1.1196e+05,1.1196e+05
63,1.1196e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,3.5136e+05,1.1196e+05,1.1196e+05
64,1.1196e+05,3.3634e+05,3.3634e+05,3.3634e+05,3.3634e+05,3.3634e+05,3.3634e+05,3.3634e+05,3.3634e+05,3.3634e+05,1.1196e+05,1.1196e+05
65,1.1196e+05,3.0324e+05,3.0324e+05,3.0324e+05,3.0324e+05,3.0324e+05,3.0324e+05,3.0324e+05,3.0324e+05,3.0324e+05,1.1196e+05,1.1196e+05
66,1.0569e+05,3.0324e+05,3.0324e+05,3.0324e+05,3.0324e+05,3.0324e+05,3.0324e+05,3.0318e+05,3.0318e+05,3.0318e+05,1.1149e+05,1.1196e+05
67,1.0093e+05,3.0075e+05,3.0075e+05,2.8099e+05,2.8093e+05,2.8342e+05,2.8342e+05,3.0318e+05,3.0318e+05,3.0318e+05,1.1149e+05,1.1196e+05
68,98037,2.8099e+05,2.8099e+05,2.8093e+05,2.8093e+05,2.8093e+05,2.703e+05,2.9006e+05,2.9006e+05,2.9006e+05,1.0907e+05,1.1196e+05
69,98037,2.7771e+05,2.7771e+05,2.7771e+05,2.6529e+05,2.5466e+05,2.5466e+05,2.5466e+05,2.5466e+05,2.5544e+05,98037,1.1196e+05
70,98003,2.7404e+05,2.6708e+05,2.6708e+05,2.5466e+05,2.5466e+05,2.5466e+05,2.5466e+05,2.51e+05,2.51e+05,93675,1.1196e+05
71,93675,2.3454e+05,2.0116e+05,2.0116e+05,2.0483e+05,2.4318e+05,2.4318e+05,2.4318e+05,2.1762e+05,2.1762e+05,93675,1.1196e+05
